date,temperature,humidity,index
2013-01-01,274.6148443467586,60.05460155543374,1
2013-01-02,274.60704900157685,60.06187453066334,2
2013-01-03,274.60320575732175,60.0614726826738,3
2013-01-04,274.6147675577948,60.068248081727866,4
2013-01-05,274.6175995304418,60.05009733389125,5
2013-01-06,274.61440328020564,60.07059999702269,6
2013-01-07,274.6092684340102,60.06196000225797,7
2013-01-08,274.6190466264184,60.057528453486725,8
2013-01-09,274.62177299616366,60.063069467387926,9
2013-01-10,274.62339080658813,60.047008960271796,10
2013-01-11,274.62138937672165,60.042072559281564,11
2013-01-12,274.62516273723526,60.06565325177794,12
2013-01-13,274.62731622660357,60.07458700583867,13
2013-01-14,274.6263409633796,60.072295753460246,14
2013-01-15,274.61892782767313,60.04984740618223,15
2013-01-16,274.6196276412195,60.04912085379624,16
2013-01-17,274.61591349931354,60.04806723010813,17
2013-01-18,274.60610960212506,60.02849291998918,18
2013-01-19,274.61711204344175,60.056190888778076,19
2013-01-20,274.622454299376,60.05937691917336,20
2013-01-21,274.60630085147466,60.05841919899759,21
2013-01-22,274.6043486619888,60.063943819885246,22
2013-01-23,274.599517537114,60.0607252664524,23
2013-01-24,274.5998724872302,60.04604378872623,24
2013-01-25,274.6029085435404,60.059028633383114,25
2013-01-26,274.6064495125948,60.046121282972024,26
2013-01-27,274.6072982403323,60.04793924187411,27
2013-01-28,274.6118373936102,60.03268795351703,28
2013-01-29,274.6145888896878,60.06536431395648,29
2013-01-30,274.62723990762873,60.07135924777257,30
2013-01-31,274.6282718587507,60.06582559757799,31
2013-02-01,274.61022713916196,60.02705463029363,32
2013-02-02,274.6074304156862,60.04053249264101,33
2013-02-03,274.6098521964389,60.05486121375508,34
2013-02-04,274.61225832294434,60.05180466186778,35
2013-02-05,274.6078461028359,60.02564351618201,36
2013-02-06,274.6124128770029,60.020528457643195,37
2013-02-07,274.60404663985906,60.034187607434376,38
2013-02-08,274.6073814283764,60.0473812657717,39
2013-02-09,274.6106127470188,60.04569138276681,40
2013-02-10,274.6110577542484,60.02444761516251,41
2013-02-11,274.6185886041103,60.02679584860403,42
2013-02-12,274.62345671350016,60.065198455231304,43
2013-02-13,274.62059231161555,60.0592504212133,44
2013-02-14,274.6209851500717,60.044066370510656,45
2013-02-15,274.6224298961036,60.04907360334547,46
2013-02-16,274.616387392787,60.04148346275239,47
2013-02-17,274.61161331734013,60.029420571696285,48
2013-02-18,274.6097173819163,60.031927913798576,49
2013-02-19,274.61685521255714,60.02091733148299,50
2013-02-20,274.6197706986252,60.06802191073899,51
2013-02-21,274.61318814185216,60.06182578993861,52
2013-02-22,274.6184180704275,60.06143235761376,53
2013-02-23,274.6207424911616,60.05851790773149,54
2013-02-24,274.6222340914765,60.080070074381865,55
2013-02-25,274.62095738457066,60.074830884788696,56
2013-02-26,274.6222538310124,60.05940839025282,57
2013-02-27,274.62277898943444,60.05804496490784,58
2013-02-28,274.6222530717995,60.07649604677852,59
2013-03-01,274.62126349198905,60.0710356829974,60
2013-03-02,274.62063764747273,60.062294349603555,61
2013-03-03,274.6181955487362,60.075132533770365,62
2013-03-04,274.6168099851589,60.07021945118442,63
2013-03-05,274.6182648540298,60.0763205451042,64
2013-03-06,274.622454913977,60.062269540925314,65
2013-03-07,274.62038858948233,60.04991464383667,66
2013-03-08,274.6203736944479,60.04932694991828,67
2013-03-09,274.62297786706625,60.04000511098632,68
2013-03-10,274.62661026704785,60.02574204958955,69
2013-03-11,274.62852203748395,60.034022362351415,70
2013-03-12,274.62805721841255,60.06366566463419,71
2013-03-13,274.6235410945931,60.06047051726881,72
2013-03-14,274.6181104445833,60.043032120384,73
2013-03-15,274.61621360533456,60.02488680766417,74
2013-03-16,274.6160305627151,60.03105645418601,75
2013-03-17,274.6141601874595,60.009560567293335,76
2013-03-18,274.6145855997652,60.00576510251252,77
2013-03-19,274.6195128916097,60.04188233019402,78
2013-03-20,274.6187286969703,60.067161233696815,79
2013-03-21,274.61899120387534,60.051445681170314,80
2013-03-22,274.61805831196284,60.05851545316261,81
2013-03-23,274.6194081925329,60.05270697891759,82
2013-03-24,274.6220253802298,60.04494203795559,83
2013-03-25,274.6221855018497,60.050229003978586,84
2013-03-26,274.62277754331456,60.04465353845001,85
2013-03-27,274.6239577217207,60.0461133056232,86
2013-03-28,274.6256591540253,60.050097246228084,87
2013-03-29,274.62607314198414,60.049261465527316,88
2013-03-30,274.6249096301092,60.02280165140778,89
2013-03-31,274.62748296422177,60.0113331166713,90
2013-04-01,274.62645903906497,60.057244600129366,91
2013-04-02,274.61830455001956,60.01130567809784,92
2013-04-03,274.6189596784627,60.01756088387748,93
2013-04-04,274.6223566862864,60.019254536398854,94
2013-04-05,274.6244636105958,60.03144716895246,95
2013-04-06,274.61833105016575,60.01317386799861,96
2013-04-07,274.62550586532166,60.01276649722911,97
2013-04-08,274.62664020172866,60.04969469693315,98
2013-04-09,274.6265223068082,60.06087639776435,99
2013-04-10,274.62803003135946,60.05125825730433,100
2013-04-11,274.6224164471891,60.02188074976508,101
2013-04-12,274.621470106362,60.03126465422421,102
2013-04-13,274.6248206937387,60.067757781595766,103
2013-04-14,274.62530073322154,60.05333885507567,104
2013-04-15,274.62672541434057,60.02908420809771,105
2013-04-16,274.63211738064456,60.044827900503066,106
2013-04-17,274.62804499869986,60.02912865332692,107
2013-04-18,274.62865041677327,60.01555173159293,108
2013-04-19,274.6365733820314,60.0456486031379,109
2013-04-20,274.6284797023255,60.04457069675059,110
2013-04-21,274.62097976327533,60.01601599576236,111
