date,temperature,humidity
2013-01-07,267.9974522150952,84.8393812525123
2013-01-21,259.0043049444807,79.6703720967898
2013-02-04,262.48613627635143,77.33341103892096
2013-02-18,268.9302193209963,79.4586439809674
2013-03-04,273.4971772138198,77.82932261240742
2013-03-18,269.8077762928432,73.08188319021342
2013-04-01,274.7180184070844,66.52312065898981
2013-04-15,277.691245611735,67.60896220979782
2013-04-29,286.4225335591144,56.59730866136085
2013-05-13,286.68351961133635,63.79539979220662
2013-05-27,289.0176482765114,75.27459837151557
2013-06-10,288.3917291986122,73.91964376332768
2013-06-24,291.94444241386225,77.6300272530497
2013-07-08,295.4635832101619,74.03443091415991
2013-07-22,294.3445099712532,72.81628411330655
2013-08-05,292.1290103217103,75.89696575580791
2013-08-19,292.50672082706905,72.84271667158205
2013-09-02,290.68199193603726,77.91249257284119
2013-09-16,287.82327135337897,78.65132639347436
2013-09-30,288.21255339273426,71.23022701047205
2013-10-14,285.5244727383363,78.23241588841195
2013-10-28,276.79888738928724,72.18998400639637
2013-11-11,276.03023147121485,72.84186623650443
2013-11-25,268.6214944533883,72.3976326240038
2013-12-09,264.43736193900065,82.86253843918746
2013-12-23,263.18127386427153,88.1622598980333
2014-01-07,263.3955563483775,83.12836921260734
2014-01-21,261.13194480431497,80.92663873294255
2014-02-04,263.2180862653903,80.2952466708376
2014-02-18,266.2610722218331,75.05889019028521
2014-03-04,262.8559697802274,70.62985362083944
2014-03-18,266.3937498704373,68.10362222616519
2014-04-01,273.6451240601858,71.02523435714961
2014-04-15,278.6841407329165,64.39115966391654
2014-04-29,280.1655886879102,72.22114179903357
2014-05-13,287.12703667705915,62.81743273073975
2014-05-27,289.5327800165433,71.61285876646443
2014-06-10,291.54874753536967,71.79300810747579
2014-06-24,294.12182404381355,67.35271018242946
2014-07-08,293.694097987837,71.89547229092945
2014-07-22,292.91312270425317,73.94548380345275
2014-08-05,294.0754685083281,72.71364111301503
2014-08-19,291.7808389951747,79.0485478868715
2014-09-02,292.7448365665915,77.6457752057884
2014-09-16,284.9934269152153,75.61483723522844
2014-09-30,287.88024222023734,79.2561086209228
2014-10-14,283.823442834563,78.88714455827099
2014-10-28,279.7387749251421,70.60535360159928
2014-11-11,274.7883814362983,73.15235279604538
2014-11-25,271.037139262249,71.98885460555766
2014-12-09,268.36298415276826,79.99844424267332
2014-12-23,270.22116271661605,82.5086913864718
2015-01-07,259.80273053775664,79.33113390452532
2015-01-21,262.11892713652503,76.88749367122186
2015-02-04,258.52042916509737,78.07387726816795
2015-02-18,257.5298140202197,75.38442319057174
2015-03-04,265.25045551929446,72.75623203223354
2015-03-18,267.40891645548834,66.72649264723671
2015-04-01,272.2484742829164,63.70402257171942
2015-04-15,280.0301399496992,63.99305853815481
2015-04-29,284.0583297150157,61.260778324758135
2015-05-13,288.93535342729575,64.48543136233043
2015-05-27,287.56720552807565,65.7047499523583
2015-06-10,290.76250474696644,72.71781709912636
2015-06-24,290.9264667444839,73.70080848540267
2015-07-08,294.19319870433475,70.6904777331273
2015-07-22,293.97676787184065,79.76250780033769
2015-08-05,292.74694916431116,80.54198349633214
2015-08-19,294.79636210903897,80.48204904738331
2015-09-02,294.02431593833063,78.00007903932587
2015-09-16,291.67338629297035,75.23124886075608
2015-09-30,284.64890214830274,65.33172230220845
2015-10-14,280.456310586599,71.54465859442492
2015-10-28,278.68128511410714,76.57686154642695
2015-11-11,278.64925724546913,75.27683412719868
2015-11-25,273.44079391322634,75.44823660250668
2015-12-09,275.69925238867233,88.32281280761853
2015-12-23,271.76136522525803,82.4659321057686
2016-01-07,266.4461128809437,86.50400591028273
2016-01-21,265.1903182264684,81.05199739422812
2016-02-04,268.5954469967214,80.05950689282307
2016-02-18,263.1566760458114,77.66707891896624
2016-03-03,267.9654070153237,73.64655564492057
2016-03-17,272.6485941116503,70.94182305065344
2016-03-31,273.26974741712297,70.65609241488198
2016-04-14,277.1191615781539,57.8013577695463
2016-04-28,278.50465158723074,56.577203670599744
2016-05-12,284.1758570919505,60.51510638864862
2016-05-26,293.09291741907924,59.66144936192001
2016-06-09,289.0877686047172,70.3846718074583
2016-06-23,294.78637730363846,60.877252825318095
2016-07-07,293.7817842907724,73.76473709961007
2016-07-21,294.6192645160566,73.32763040110731
2016-08-04,295.7427242937957,65.36850575026168
2016-08-18,294.00641702079656,78.71136165897721
2016-09-01,293.8093668699734,74.07173939914172
2016-09-15,291.4973675756478,74.89712153986731
2016-09-29,285.70043596536186,70.98332254873026
2016-10-13,284.64461002717707,73.19585005287023
2016-10-27,277.5459839816045,81.07523195638417
2016-11-10,278.3854972368825,75.6872630004944
2016-11-24,274.05719915922754,87.40556680697293
2016-12-08,268.79962983680844,82.20442252806507
2016-12-22,266.1227842326513,83.91748388148642
2017-01-07,265.69007130595384,83.34519459758287
2017-01-21,270.44076722918686,84.93632511150327
2017-02-04,263.10374988852743,80.66975107262516
2017-02-18,271.72710064084146,81.10979881436586
2017-03-04,267.25052932300827,68.66155326830952
2017-03-18,266.9645917679979,68.48860169378496
2017-04-01,275.24327996425876,76.29452955922764
2017-04-15,280.43268095520136,73.75677779840022
2017-04-29,282.09757342817136,74.78649525016013
2017-05-13,284.7444453127181,67.5820131950638
2017-05-27,287.4213713256281,77.16329413119834
2017-06-10,292.0707066944649,68.35584553259075
2017-06-24,291.96496448220125,82.04480662609024
2017-07-08,293.20184313265815,76.03138872341908
2017-07-22,293.3493850127745,75.55210871722977
2017-08-05,293.3092705979477,77.18583181503053
2017-08-19,292.35367281134,78.00889176206748
